2025-07-10 02:16:07,742  === metric-only session ===
2025-07-10 02:16:08,970  found 230 prediction files
2025-07-10 02:16:10,133  BraTS-GLI-00819-000_real_label_45.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,140  BraTS-GLI-00819-000_real_label_47.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,142  BraTS-GLI-00819-000_real_label_48.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,144  BraTS-GLI-00819-000_real_label_51.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,146  BraTS-GLI-00819-000_real_label_52.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,147  BraTS-GLI-00819-000_real_label_54.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,149  BraTS-GLI-00819-000_real_label_55.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,150  BraTS-GLI-00819-000_real_label_56.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,152  BraTS-GLI-00819-000_real_label_60.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,153  BraTS-GLI-00819-000_real_label_63.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,155  BraTS-GLI-00819-000_real_label_68.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,156  BraTS-GLI-00819-000_real_label_7.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,158  BraTS-GLI-00819-000_real_label_72.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,159  BraTS-GLI-00819-000_real_label_73.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,161  BraTS-GLI-00819-000_real_label_76.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,163  BraTS-GLI-00819-000_real_label_78.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,164  BraTS-GLI-00819-000_real_label_81.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,168  BraTS-GLI-00819-000_real_label_84.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,170  BraTS-GLI-00819-000_real_label_85.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,172  BraTS-GLI-00819-000_real_label_86.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,173  BraTS-GLI-00819-000_real_label_87.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,175  BraTS-GLI-00819-000_real_label_88.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,177  BraTS-GLI-00819-000_real_label_89.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,178  BraTS-GLI-00819-000_real_label_91.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,180  BraTS-GLI-00819-000_real_label_92.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,181  BraTS-GLI-00819-000_real_label_93.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,183  BraTS-GLI-00819-000_real_label_94.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,185  BraTS-GLI-00819-000_real_label_96.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,186  BraTS-GLI-00819-000_real_label_98.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,188  BraTS-GLI-00820-000_fake_label_0.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,189  BraTS-GLI-00820-000_fake_label_1.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,191  BraTS-GLI-00820-000_fake_label_10.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,192  BraTS-GLI-00820-000_fake_label_11.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,194  BraTS-GLI-00820-000_fake_label_12.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,195  BraTS-GLI-00820-000_fake_label_15.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,202  BraTS-GLI-00820-000_fake_label_16.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,206  BraTS-GLI-00820-000_fake_label_19.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,226  BraTS-GLI-00820-000_fake_label_2.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,232  BraTS-GLI-00820-000_fake_label_20.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,235  BraTS-GLI-00820-000_fake_label_21.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,237  BraTS-GLI-00820-000_fake_label_22.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,240  BraTS-GLI-00820-000_fake_label_24.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,244  BraTS-GLI-00820-000_fake_label_25.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,246  BraTS-GLI-00820-000_fake_label_26.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,250  BraTS-GLI-00820-000_fake_label_31.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,251  BraTS-GLI-00820-000_fake_label_32.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,254  BraTS-GLI-00820-000_fake_label_33.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,257  BraTS-GLI-00820-000_fake_label_35.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,259  BraTS-GLI-00820-000_fake_label_36.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,260  BraTS-GLI-00820-000_fake_label_37.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,262  BraTS-GLI-00820-000_fake_label_39.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,266  BraTS-GLI-00820-000_fake_label_44.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,267  BraTS-GLI-00820-000_fake_label_50.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,268  BraTS-GLI-00820-000_fake_label_51.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,271  BraTS-GLI-00820-000_fake_label_53.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,273  BraTS-GLI-00820-000_fake_label_54.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,275  BraTS-GLI-00820-000_fake_label_56.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,276  BraTS-GLI-00820-000_fake_label_57.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,277  BraTS-GLI-00820-000_fake_label_60.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,281  BraTS-GLI-00820-000_fake_label_62.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,283  BraTS-GLI-00820-000_fake_label_65.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,284  BraTS-GLI-00820-000_fake_label_66.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,286  BraTS-GLI-00820-000_fake_label_68.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,290  BraTS-GLI-00820-000_fake_label_7.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,291  BraTS-GLI-00820-000_fake_label_70.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,293  BraTS-GLI-00820-000_fake_label_71.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,294  BraTS-GLI-00820-000_fake_label_72.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,296  BraTS-GLI-00820-000_fake_label_73.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,298  BraTS-GLI-00820-000_fake_label_74.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,299  BraTS-GLI-00820-000_fake_label_75.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,301  BraTS-GLI-00820-000_fake_label_76.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,302  BraTS-GLI-00820-000_fake_label_77.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,306  BraTS-GLI-00820-000_fake_label_78.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,308  BraTS-GLI-00820-000_fake_label_79.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,310  BraTS-GLI-00820-000_fake_label_8.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,312  BraTS-GLI-00820-000_fake_label_81.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,314  BraTS-GLI-00820-000_fake_label_83.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,316  BraTS-GLI-00820-000_fake_label_86.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,317  BraTS-GLI-00820-000_fake_label_88.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,321  BraTS-GLI-00820-000_fake_label_9.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,323  BraTS-GLI-00820-000_fake_label_90.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,324  BraTS-GLI-00820-000_fake_label_91.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,326  BraTS-GLI-00820-000_fake_label_93.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,327  BraTS-GLI-00820-000_fake_label_95.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,329  BraTS-GLI-00820-000_fake_label_96.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,330  BraTS-GLI-00820-000_fake_label_97.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,335  BraTS-GLI-00820-000_fake_label_98.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,337  BraTS-GLI-00820-000_real_label_13.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,338  BraTS-GLI-00820-000_real_label_14.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,341  BraTS-GLI-00820-000_real_label_17.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,342  BraTS-GLI-00820-000_real_label_18.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,343  BraTS-GLI-00820-000_real_label_23.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,345  BraTS-GLI-00820-000_real_label_27.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,346  BraTS-GLI-00820-000_real_label_28.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,349  BraTS-GLI-00820-000_real_label_29.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,355  BraTS-GLI-00820-000_real_label_3.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,357  BraTS-GLI-00820-000_real_label_30.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,362  BraTS-GLI-00820-000_real_label_34.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,368  BraTS-GLI-00820-000_real_label_38.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,372  BraTS-GLI-00820-000_real_label_4.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,373  BraTS-GLI-00820-000_real_label_40.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,377  BraTS-GLI-00820-000_real_label_41.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,379  BraTS-GLI-00820-000_real_label_42.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,381  BraTS-GLI-00820-000_real_label_43.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,383  BraTS-GLI-00820-000_real_label_45.nii: ground-truth .nii.gz not found, skip
2025-07-10 02:16:10,385  BraTS-GLI-00820-000_real_label_46.nii: ground-truth .nii.gz not found, skip
